Symbol;Issuer Fullname;ISIN;BBTicker
BOKUS;Bokusgruppen AB;SE0016074256;
BOL;Boliden AB;SE0020050417;BOL SS
BOMILL;BoMill AB;SE0014583332;
BONAV A;Bonava AB;SE0008091573;BONAVA SS
BONAV B;Bonava AB;SE0008091581;BONAVB SS
BONEX;BONESUPPORT HOLDING AB;SE0009858152;BONEX SS
BONG;Bong AB;SE0000396061;BONG SS
BONAS;Bonäsudden Holding AB;SE0007157953;
BOOZT;Boozt AB;SE0009888738;BOOZT SS
BOTX;Botnia Exploration Holding AB;SE0010494708;BOTX SS
BOUL;Boule Diagnostics AB;SE0011231158;BOUL SS
BPCINS;BPC Instruments AB;SE0017130826;
BRAV;Bravida Holding AB;SE0007491303;BRAV SS
BRE2;Bredband2 i Skandinavien AB;SE0000648669;BRE2 SS
BRILL;Brilliant Future AB;SE0015811625;
BRIN B;Brinova Fastigheter AB;SE0008347652;BRINB SS
BRIX;Briox AB;SE0008588131;
BTS B;BTS Group AB;SE0000805426;BTSB SS
BUFAB;Bufab AB;SE0025010671;BUFAB SS
BULTEN;Bulten AB;SE0003849223;BULTEN SS
BURE;Bure Equity  AB;SE0000195810;BURE SS
BMAX;Byggmax Group AB;SE0003303627;BMAX SS
AJA B;Byggmästare Anders J Ahlström Holding AB;SE0006510491;
BYGGP;ByggPartner Gruppen AB;SE0009242324;
CRAD B;C-RAD AB;SE0002016352;CRADB SS
CAG;CAG Group AB;SE0011923341;
CAMX;Camurus AB;SE0007692850;CAMX SS
CANDLE B;Candles Scandinavia AB;SE0016797773;
CANTA;Cantargia AB;SE0006371126;CANTA SS
CRBX;Carbiotix AB;SE0022760252;
CARE;Careium AB;SE0017131824;
CASE;Case Group AB;SE0017082514;
CAST;Castellum AB;SE0000379190;CAST SS
CAT A;Catella AB;SE0000188500;CATA SS
CAT B;Catella AB;SE0000188518;CATB SS
CATE;Catena AB;SE0001664707;CATE SS
CTM;Catena Media P.L.C;MT0001000109;CTM SS
CCC*;Cavotec SA;CH0136071542;CCC SS
CDON;CDON AB;SE0015191911;CDON SS
CEDER;Cedergrenska AB;SE0015949946;
CI*;Cell Impact AB;SE0017885379;
CEVI;CellaVision AB;SE0000683484;CEVI SS
CHARGE;ChargePanel AB;SE0017083835;
CHECK;Checkin.com Group AB;SE0015810502;
CMH;Chordate Medical Holding AB;SE0022726139;
CIBUS;Cibus Nordic Real Estate AB;SE0010832204;
CINIS;Cinis Fertilizer AB;SE0018040784;
CINT;Cint Group AB;SE0015483276;
CIRCHE;CirChem AB;SE0015193529;
CLAS B;Clas Ohlson AB;SE0000584948;CLASB SS
CLAV;Clavister AB;SE0005308558;CLAV SS
CLEMO*;Clean Motion AB;SE0008216303;
CLEM;Clemondo Group AB;SE0023468400;
CLIME B;Climeon AB;SE0023837182;
CLS B;Clinical Laserthermia Systems AB;SE0022049920;CLSB SS
CLA B;Cloetta AB;SE0002626861;CLAB SS
CNI5 PREF P2;CNI Nordic 5 AB;SE0011090646;
CDMIL;CodeMill AB;SE0013914819;
COEGIN;Coegin Pharma AB;SE0020357754;
CF1 PREF P2;Coeli Fastighet I AB;SE0009695851;
CF2 PREF P2;Coeli Fastighet II AB;SE0012012672;
CPE I;Coeli Private Equity;SE0012012268;
CS;CoinShares International Ltd;JE00BLD8Y945;
COMBI*;Combigene AB;SE0016101935;
CX;CombinedX AB;SE0012065589;
COMINT;Comintelli AB;SE0011751569;
COMPDM;Compodium International AB;SE0022088233;
CNCJO B;Concejo AB;SE0000236382;
CAM B;Consensus Asset Management AB;SE0015191739;
COOR;Coor Service Management Holding AB;SE0007158829;COOR SS
CORE A;Corem Property Group AB;SE0010714279;COREA SS
CORE B;Corem Property Group AB;SE0010714287;COREB SS
CORE D;Corem Property Group AB;SE0015961594;
CORE PREF;Corem Property Group AB;SE0010714311;COREPREF SS
CLBIO;Corline Biomedical AB;SE0006887451;
CRED A;Creades AB;SE0015661236;CREDA SS
CRWN;Crown Energy;SE0004210854;
CFISH;Crunchfish AB;SE0009190192;
CTEK;CTEK AB;SE0016798763;
CTT;CTT Systems AB;SE0000418923;CTT SS
CYB1;Cyber Security 1 AB;SE0007604061;
DE;Dala Energi AB;SE0000201253;
DEDI;Dedicare AB;SE0003909282;DEDI SS
DSNO;Desenio Group AB;SE0015657853;
DEVP B;DevPort AB;SE0010546622;
DVYSR;Devyser Diagnostics AB;SE0016588867;
DEX;DexTech Medical AB;SE0005881489;
DIAH;Diadrom Holding AB;SE0001606906;DIAH SS
DMYD B;Diamyd Medical AB (publ);SE0005162880;DMYDB SS
DIGN*;Dignitana AB;SE0002108001;DIGN SS
DIST;DistIT AB;SE0003883800;DIST SS
DIV B;Dividend Sweden AB;SE0017085145;
DIVIO B;Divio Technologies AB;SE0011311554;
DIOS;Diös Fastigheter AB;SE0001634262;DIOS SS
DLAB;Dlaboratory Sweden AB;SE0015658380;
DOM;Dometic Group AB;SE0007691613;DOM SS
DORO;DORO AB;SE0000215493;DORO SS
DBP B*;Double Bond Pharmaceutical Int. AB;SE0007185525;
DOXA;Doxa AB;SE0005624756;DOXA SS
DRIL;Drillcon AB;SE0001770702;DRIL SS
DUNI;Duni AB;SE0000616716;DUNI SS
DURC B;Duroc AB;SE0000331266;DURCB SS
DUST;Dustin Group AB;SE0006625471;DUST SS
EAST;Eastnine AB;SE0022050183;EAST SS
EASY B;EasyFill AB;SE0002039222;
EATG;EatGood Sweden AB;SE0009548597;
ECC B;Ecoclime Group AB;SE0012729937;
ECO B;EcoRub AB;SE0003273531;
ALBERT;eEducation Albert AB;SE0016797989;
EEVIA*;Eevia Health Plc;FI4000496658;
EFFH;Effnetplattformen Holding AB;SE0015987565;
EGTX;Egetis Therapeutics AB;SE0003815604;
ELAN B;Elanders AB;SE0000119299;ELANB SS
EPRO B;Electrolux Professional AB;SE0013747870;
ELUX A;Electrolux;  AB;SE0016589170;ELUXA SS
ELUX B;Electrolux;  AB;SE0016589188;ELUXB SS
EKTA B;Elekta AB;SE0000163628;EKTAB SS
ELIC;Elicera Therapeutics AB;SE0015382080;
ELN;Ellen AB;SE0014730347;ELN SS
ELLWEE*;ELLWEE AB;SE0020551679;
ELON;Elon AB;SE0001572520;
ELTEL;Eltel AB;SE0006509949;ELTEL SS
EMBELL;Embellence Group AB;SE0013888831;
EMBRAC B;Embracer Group AB;SE0023615885;
EG7;Enad Global 7 AB;SE0010520106;
ENEA;Enea AB;SE0009697220;ENEA SS
ENERS*;Enersize Oyj;FI4000233317;
ENGCON B;engcon AB;SE0017769847;
ENRO;Eniro Group AB;SE0011256312;ENRO SS
ERMA*;Enorama Pharma AB;SE0008216329;
ENRAD;Enrad AB;SE0009994858;
ENVI B;Envirologic AB;SE0005704095;
ENZY;Enzymatica AB;SE0003943620;ENZY SS
EOLU B;Eolus Aktiebolag;SE0007075056;EOLUB SS
EPI A;Epiroc Aktiebolag;SE0015658109;EPIA SS
EPI B;Epiroc Aktiebolag;SE0015658117;EPIB SS
EPIS B;Episurf Medical AB;SE0003491562;EPISB SS
EQT;EQT AB;SE0012853455;
ERIC A;Ericsson; Telefonab. L M;SE0000108649;ERICA SS
ERIC B;Ericsson; Telefonab. L M;SE0000108656;ERICB SS
ESSITY A;Essity AB;SE0009922156;ESSITYA SS
ESSITY B;Essity AB;SE0009922164;ESSITYB SS
BAT;Eurobattery Minerals AB;SE0012481570;
EVERY*;Everysport Media Group AB;SE0016127831;
EVO;Evolution AB;SE0012673267;EVO SS
EWRK;Ework Group AB;SE0002402701;EWRK SS
EXALT;Exalt AB;SE0005223542;
EXPRS2;ExpreS2ion Biotech Holding AB;SE0023261292;
EXS;Exsitec Holding AB;SE0014035762;
EOID;Eyeon Group AB;SE0019763988;
FABG;Fabege AB;SE0011166974;FABG SS
FAG;Fagerhult Group AB;SE0010048884;FAG SS
FG;Fasadgruppen Group AB;SE0015195771;
BALD B;Fastighets AB Balder;SE0017832488;BALDB SS
TRIAN B;Fastighets AB Trianon;SE0018013658;
EMIL B;Fastighetsbolaget Emilshus AB;SE0016785786;
EMIL PREF;Fastighetsbolaget Emilshus AB;SE0016785794;
FPAR A;Fastpartner AB;SE0013512506;FPARA SS
FPAR D;Fastpartner AB;SE0013512514;
FOI B;Fenix Outdoor International AG;CH0242214887;FOIB SS
FERRO;Ferroamp AB;SE0012229920;
FNM;Ferronordic AB;SE0005468717;FNM SS
FINE;Finepart Sweden AB;SE0009189442;
FING B;Fingerprint Cards AB;SE0008374250;FINGB SS
FIRE;Firefly AB;SE0000395428;FIRE SS
FIRST B;First Venture Sweden AB;SE0016075451;
FLAT B;Flat Capital AB;SE0016609846;
FLMNG;Fleming Properties AB;SE0013042561;
FLEXM;Flexion Mobile Plc;GB00BZ1MDB19;
FLEXQ;FlexQube AB;SE0010547075;
FLOWS;Flowscape Technology AB;SE0018042046;
FLUI;Fluicell AB;SE0023595459;
FLUO;FluoGuide A/S;DK0061123312;
FMM B;FM Mattsson AB;SE0018040883;FMM SS
FPIP;Formpipe Software AB;SE0001338039;FPIP SS
FNOVA B;Fortinova Fastigheter AB;SE0014608915;
FNOX*;Fortnox AB;SE0017161243;
FRACTL;Fractal Gaming Group AB;SE0015504477;
FRAG;Fragbite Group AB;SE0023287347;
FRAM B;Fram Skandinavien AB;SE0010296269;
F2M;Free2move Holding;SE0011414283;
FREEM;Freemelt Holding AB;SE0011167170;
FREJA;Freja eID Group AB;SE0015950308;
FRNT B;Front Ventures AB;SE0005337920;
FSPORT;FSport AB;SE0016288641;
FXI;FX International AB;SE0003787555;
G5EN;G5 Entertainment AB;SE0001824004;G5EN SS
GABA;Gabather AB;SE0010869552;
GAMEC;Game Chest Group AB;SE0010820191;
GCOR;Gaming Corps AB;SE0014694691;
GAPW B;Gapwaves AB;SE0009155518;
GARO;Garo AB;SE0015812417;GARO SS
GPX;Gasporox AB;SE0008991624;
GENI;Generic Sweden AB;SE0001790791;GENI SS
GPG;Genova Property Group AB;SE0007184189;
GENO;Genovis AB;SE0002485979;GENO SS
GETI B;Getinge AB;SE0000202624;GETIB SS
GTAB B;Glycorex Transplantation;SE0000524530;
GTG;Gold Town Games;SE0008587117;
GOMERO;Gomero Group AB;SE0011167535;
GOMX;GomSpace Group AB;SE0008348304;
GBK;Goodbye Kansas Group AB;SE0021627353;
GREAT;Greater Than AB;SE0005881554;GREAT SS
GREEN;Green Landscaping Group AB;SE0010985028;
GRNG;Gränges AB;SE0006288015;GRNG SS
GUARD;Guard Therapeutics International AB;SE0021181559;
GGEO;Guideline Geo AB;SE0005562014;
GJAB;Gullberg & Jansson AB;SE0004576346;
HDW B*;H&D Wireless Sweden Holding AB;SE0009889405;
HAMLET B;Hamlet BioPharma AB;SE0015661152;
HNSA;Hansa Biopharma AB;SE0002148817;HNSA SS
HANZA;HANZA AB;SE0005878543;HANZA SS
HAV B;Havsfrun Investment AB;SE0000312043;HAVB SS
HAYPP;Haypp Group AB;SE0016829469;
HEBA B;Heba Fastighets AB;SE0017911480;HEBAB SS
HEGR;Hedera Group AB;SE0007815113;
HEIM PREF;Heimstaden AB (publ);SE0015949037;
HELIO;Heliospectra AB;SE0005933082;HELIO SS
HEM;Hemnet Group AB;SE0015671995;
HMPLY;Hemply Balance Holding AB;SE0014402400;
HM B;Hennes & Mauritz AB; H & M;SE0000106270;HMB SS
HEXA B;Hexagon AB;SE0015961909;HEXAB SS
HTRO;Hexatronic Group AB;SE0018040677;HTRO SS
HEXI*;Hexicon AB;SE0004898799;
HPOL B;HEXPOL AB;SE0007074281;HPOLB SS
HIFA B;Hifab Group AB;SE0000483943;HIFAB SS
HIGHCO B;High Coast Distillery AB;SE0003848613;
HILB B;Hilbert Group AB;SE0016278154;
HMS;HMS Networks AB;SE0009997018;HMS SS
HOI B;Hoi Publishing AB;SE0017830789;
HOFI;Hoist Finance AB;SE0006887063;HOFI SS
HOLM A;Holmen AB;SE0011090000;HOLMA SS
HOLM B;Holmen AB;SE0011090018;HOLMB SS
HOME B;HomeMaid AB;SE0001426131;
HOODIN;Hoodin AB;SE0011415249;
HUBS;Hubbster Group AB;SE0015194659;
HUBSO*;HUBSO GROUP AB;SE0009806177;
HUFV A;Hufvudstaden AB;SE0000170375;HUFVA SS
HUM;Humana AB;SE0008040653;HUM SS
HUMBLE;Humble Group AB;SE0006261046;
HUSQ A;Husqvarna AB;SE0001662222;HUSQA SS
HUSQ B;Husqvarna AB;SE0001662230;HUSQB SS
LOVE B;I Love Lund AB;SE0018397648;
ITECH;I-Tech AB;SE0011167725;
IAR B;I.A.R Systems Group AB;SE0005851706;IARB SS
ICO;Iconovo AB;SE0010868943;
IDUN B;Idun Industrier AB;SE0013512464;
IS;Image Systems AB;SE0006421871;IS SS
IMMNOV;Immunovia AB;SE0006091997;IMMNOV SS
IMPC;Impact Coatings AB;SE0001279142;IMPC SS
IMP A SDB;Implantica AG;SE0014855029;
INCOAX;InCoax Networks AB;SE0009832595;
INDU A;Industrivärden; AB;SE0000190126;INDUA SS
INDU C;Industrivärden; AB;SE0000107203;INDUC SS
INDT;Indutrade AB;SE0001515552;INDT SS
IBT B;Infant Bacterial Therapeutics AB;SE0008015259;IBTB SS
INFREA;Infrea AB;SE0010600106;
ISAB;Inhalation Sciences Sweden AB;SE0009983893;
INISS B;Inission AB;SE0016275069;
INIT;Initiator Pharma A/S;DK0060775872;
INSP;Insplorion AB;SE0006994943;
INSTAL;Instalco AB;SE0017483506;INSTAL SS
INTEG B;Integrum AB;SE0009807266;
INT;Intellego Technologies AB;SE0016075063;
IPCO;International Petroleum Corporation;CA46016U1084;IPCO SS
IVACC;Intervacc AB;SE0009607252;
INTRUM;Intrum AB;SE0000936478;INTRUM SS
IMS;Invent Medic Sweden AB;SE0007603402;
INVE A;Investor AB;SE0015811955;INVEA SS
INVE B;Investor AB;SE0015811963;INVEB SS
IVSO;INVISIO AB;SE0001200015;IVSO SS
INWI;Inwido AB;SE0006220018;INWI SS
IRIS*;Irisity AB;SE0005365681;
IRLAB A;IRLAB Therapeutics AB;SE0012675361;
ISOFOL;Isofol Medical AB;SE0009581051;
ITAB;ITAB Shop Concept AB;SE0015962097;
IZAFE B;iZafe Group AB;SE0003656834;
JLT;JLT Mobile Computers AB;SE0000725624;JLT SS
JM;JM AB;SE0000806994;JM SS
JOBS;Job Solution Sweden Holding AB;SE0017564800;
JOMA;John Mattson Fastighetsföretagen AB;SE0012481364;JOMA SS
GATE;Jumpgate AB;SE0023113154;
KFAST B;K-Fast Holding AB;SE0016101679;
K2A B;K2A Knaust & Andersson Fastigheter AB;SE0010520254;
K2A PREF;K2A Knaust & Andersson Fastigheter AB;SE0006852075;
KABE B;KABE Group AB;SE0000107724;KABEB SS
KAKEL;Kakel Max AB;SE0009921075;
KAPIAB;Kallebäck Property Invest AB (publ);SE0005704079;KAPIAB SS
KAMBI;Kambi Group Plc;MT0000780107;KAMBI SS
KAN;Kancera AB;SE0015658570;KAN SS
KAR;Karnov Group AB;SE0012323715;
KDEV;Karolinska Development AB;SE0002190926;KDEV SS
KAV;Katalysen Ventures AB;SE0016798045;
KEBNI B;KebNi AB;SE0012904803;
KENH;Kentima Holding AB;SE0005100757;KENH SS
KINV A;Kinnevik AB;SE0022060513;KINVA SS
KINV B;Kinnevik AB;SE0022060521;KINVB SS
KJELL;Kjell Group AB;SE0016797591;
KLARA B;KlaraBo Sverige AB;SE0010832287;
KLAR*;Klaria Pharma Holding AB;SE0007280326;
KLIMAT;Klimator AB;SE0014401329;
KNOW;Knowit AB;SE0000421273;KNOW SS
KONT;Kontigo Care AB;SE0007075247;
KOBR B;Kopparbergs;SE0000500779;
KRONA;Krona Public Real Estate AB;SE0015657895;
KVIX;Kvix AB;SE0016610083;
LAGR B;Lagercrantz Group AB;SE0014990966;LAGRB SS
LAMM B;Lammhults Design Group AB;SE0000386138;LAMMB SS
LATO B;Latour; Investmentab.;SE0010100958;LATOB SS
LEMSE;Leading Edge Materials Corp.;CA52171T1003;
LIDDS*;LIDDS AB;SE0001958612;
LIFCO B;Lifco AB;SE0015949201;LIFCOB SS
LCLEAN;Lifeclean International AB;SE0014829271;
LAIR;LightAir AB (publ);SE0022239133;
LIME;Lime Technologies AB;SE0011870195;
LINC;Linc AB;SE0015949433;
LIAB;Lindab International AB;SE0001852419;LIAB SS
LINKAB;Link Prop Investment AB;SE0006993804;
LIPI;Lipidor AB;SE0012558617;
LPGO;Lipigon Pharmaceuticals AB;SE0015382072;
LIPUM;Lipum AB;SE0015660899;
LITI;Litium AB;SE0007387246;
LOGI A;Logistea AB;SE0017131329;
LOGI B;Logistea AB;SE0017131337;
LOGIST;Logistri Fastighets AB;SE0010414615;
LOOMIS;Loomis AB;SE0014504817;
LOVI;Lovisagruvan AB;SE0000418873;
LOYAL;Loyal Solutions A/S;DK0061535507;
LUC;Lucara Diamond Corp;CA54928Q1081;LUC SS
LUMEN;LumenRadio AB;SE0019072158;
LUMITO;Lumito AB;SE0011282847;
LUND B;Lundbergföretagen AB; L E;SE0000108847;LUNDB SS
LUG;Lundin Gold Inc.;CA5503711080;LUG SS
LUMI;Lundin Mining Corporation;CA5503721063;LUMI SS
LXB;Luxbright AB;SE0015192075;
LYGRD;Lyckegård Group AB;SE0017160575;
LYKO A;Lyko Group AB;SE0010468918;
MOBA;M.O.B.A. Network AB;SE0016277909;
MAGI;MAG Interactive AB;SE0010520908;
MAGLE;Magle Chemoswed Holding AB;SE0014401014;
MAHA A;Maha Energy AB;SE0008374383;
MAHVIE;Mahvie Minerals AB (publ);SE0018768210;
MEAB B;Malmbergs Elektriska AB;SE0000507659;MEABB SS
MANG;Mangold AB;SE0001449380;MANG SS
MANTEX*;Mantex AB;SE0023467451;
MAVEN;Maven Wireless Sweden AB;SE0015961180;
MAV*;Mavshack AB;SE0020998854;MAV SS
MCAP;MedCap AB;SE0009160872;MCAP SS
MCLR;Medclair AB;SE0009190572;
MEDHLP;Medhelp Care AB;SE0016799001;
MEGR;Mediacle Group AB;SE0007705074;
MCOV B;Medicover AB;SE0009778848;MCOVB SS
MEDIMI*;Medimi AB;SE0001860511;
MEKO;MEKO AB;SE0002110064;MEKO SS
IMMU;Mendus AB;SE0022239950;IMMU SS
MNTC;Mentice AB;SE0012673291;
META;Metacon AB;SE0003086214;
MSAB B;Micro Systemation AB;SE0000526626;MSABB SS
MPOS;Micropos Medical AB;SE0002834507;
MSON A;Midsona AB;SE0000565210;MSONA SS
MSON B;Midsona AB;SE0000565228;MSONB SS
MIDS;Midsummer AB;SE0011281757;
MILDEF;Mildef Group AB;SE0016074249;
MNDRK;MindArk PE AB (publ);SE0019354358;
MINEST;Minesto AB;SE0007578141;
MIPS;Mips AB;SE0009216278;MIPS SS
MIR;Miris Holding AB;SE0015657820;
MOB;Moberg Pharma AB;SE0020353928;MOB SS
MTG A;Modern Times Group MTG AB;SE0018012486;MTGA SS
MTG B;Modern Times Group MTG AB;SE0018012494;MTGB SS
MODTX;Modus Therapeutics Holding AB;SE0015987904;
MOFAST;Mofast AB;SE0012596120;
MOMENT;Moment Group AB;SE0020388932;MOMENT SS
MMGR B;Momentum Group AB;SE0017562523;MMGRB SS
MONI;Monivent AB;SE0013512282;
MODI*;Motion Display Scandinavia AB;SE0005798923;
MBBAB*;MoveByBike Europe AB;SE0015988100;
MTI;MTI Investment AB;SE0017105539;
MTRS;Munters Group AB;SE0009806607;MTRS SS
MYBEAT*;My Beat AB;SE0023440763;
MYCR;Mycronic AB;SE0025158629;MYCR SS
NANEXA;Nanexa AB;SE0007074166;
NANOFS;Nanoform Finland Oyj;FI4000330972;
NICA*;Nanologica AB;SE0005454873;
NATTA;Nattaro Labs AB;SE0016844534;
NAXS;NAXS AB;SE0001965369;NAXS SS
NCAB;NCAB Group AB;SE0017160773;NCAB SS
NCC A;NCC AB;SE0000118952;NCCA SS
NCC B;NCC AB;SE0000117970;NCCB SS
NMAN;Nederman Holding Aktiebolag;SE0011204510;NMAN SS
NELLY;Nelly Group AB;SE0015245535;
NEOLA;Neola Medical AB;SE0014829255;
NEPA;Nepa AB;SE0008066302;
NETI B;Net Insight AB;SE0000366098;NETIB SS
NETEL;Netel Holding AB;SE0016798417;
NJOB*;NetJobs Group AB;SE0001790346;NJOB SS
BBROOM;New Bubbleroom Sweden AB;SE0016288476;
NNH;New Nordic Healthbrands AB;SE0001838038;NNH SS
NEWA B;New Wave Group AB;SE0020356970;NEWAB SS
NEWBRY;Newbury Pharmaceuticals AB;SE0015244884;
NEXAM;Nexam Chemical Holding AB;SE0005101003;NEXAM SS
NXAR;Nexar Group AB;SE0018219826;
NXTCL;NextCell Pharma AB;SE0009723125;
NFO;NFO Drives AB;SE0015193800;
NGS;NGS Group AB;SE0009947708;NGS SS
NIBE B;NIBE Industrier AB;SE0015988019;NIBEB SS
NICO;Nicoccino Holding AB;SE0005506185;NICO SS
NIL B;Nilörngruppen AB;SE0007100342;NILB SS
BOAT;Nimbus Group AB;SE0015407390;
NITRO;Nitro Games Oyj;FI4000242961;
NIVI B;Nivika Fastigheter AB;SE0017083272;
NOBI;Nobia AB;SE0000949331;NOBI SS
NODE;Nodebis Applications AB;SE0020846392;
NOKIA SEK;Nokia Oyj;FI0009000681;NOKIASEK SS
NOLA B;Nolato AB;SE0015962477;NOLAB SS
NDA SE;Nordea Bank Abp;FI4000297767;NDA SS
NAIG B;Nordic Asia Investment Group 1987 AB;SE0016609333;
