press_release_id,release_date,company_name,category,source,source_url,cid,category_name,cat_sim,cat_margin,decision,_silhouette,cluster,title,snippet
198cd21fd8de6098,2025-08-21,Willys,unknown,gmail,,admission_delisting,Delisting / Trading halt,0.7321,0.0006,needs_review_margin,-0.0123,21,Örebro Stadsmission öppnar ny social matbutik med hjälp av Willys,"[*] Örebro Stadsmission öppnar ny social matbutik med hjälp av Willys Under torsdagen öppnade Örebro Stadsmission sin första sociala matbutik i Örebro län där socioekonomiskt utsatta människor kan handla mat till nedsatt pris. Willys är partner till butiken och har bland annat hjälpt till med butiksbygget och kommer även stötta den framtida driften. Matmissionen är ett koncept för sociala livsmedelsbutiker. Butikerna säljer varor och produkter som annars riskerar att slängas, och behoven och efterfrågan ökar som följd av de höga matpriserna och växande matfattigdom. Den nya Matmissionen, som ö"
198d5dbafb81af54,2025-08-23,Precio Fishbone AB,unknown,gmail,,equity_actions_non_buyback,Equity actions (non-buyback),0.7346,0.0062,needs_review_margin,-0.0125,21,Precio Fishbone öppnar kontor i Umeå,Precio Fishbone öppnar kontor i Umeå Publicerad: 2025-08-23 09:36:34 CEST Precio Fishbone AB - Nyheter för investerare Precio Fishbone öppnar kontor i Umeå I veckan slog vi upp portarna till vårt nya kontor på Vasagatan 8 i Umeå. Ett nytt kontor och en ny ort i en expansiv region blir ett mycket spännande tillskott i Precio Fishbones erbjudande. Genom etableringen i Umeå så får vi ett lokalt fotfäste i en av landets mest expansiva och spännande regioner. Vi får en flygande start med 14 konsulter och ett antal spännande kunder redan från start. Inte bara geografiskt och numerärt är etableringen
198c0ea0c1c9bb7a,2025-08-19,NCC AB,unknown,gmail,,capital_raise_rights_issue,Capital raise / Rights issue,0.7348,0.0005,needs_review_margin,-0.1519,21,NCC bygger ut Bålforsens vattenverk,"NCC bygger ut Bålforsens vattenverk Publicerad: 2025-08-19 08:00:00 CEST NCC AB - Nyheter för investerare NCC bygger ut Bålforsens vattenverk NCC bygger ut vattenkraftsstationen Bålforsen i Lycksele på uppdrag av energibolaget Uniper. Projektet omfattar installation av ny turbin som ökar kapaciteten och effektiviteten i anläggningen. Ordervärdet är cirka 200 MSEK. Foto: Uniper – Umeälvsutbyggnaden är ett viktigt projekt då det ligger helt i linje med vår strategi att utöka vår leverans av grön och flexibel energi, säger Jonny Arrehag, programansvarig Umeälven Expansion Project, Uniper. NCC ans"
198d07875b577a5d,2025-08-22,Sparbanken Sjuhärad AB,unknown,gmail,,dividend,Dividend,0.7381,0.0034,needs_review_margin,-0.0675,21,Sparbanken Sjuhärad satsar i samarbete med Swedbank i Härryda kommun,"Sparbanken Sjuhärad satsar i samarbete med Swedbank i Härryda kommun Publicerad: 2025-08-22 08:30:00 CEST Sparbanken Sjuhärad AB - Insiderinformation Sparbanken Sjuhärad satsar i samarbete med Swedbank i Härryda kommun Sparbanken Sjuhärad som är delägd av Swedbank, gör en gemensam satsning med Swedbank i ett av Sveriges mest expansiva områden med ökad servicegrad för kunderna och ett nytt bankkontor i Mölnlycke under 2026. - Vi flyttar fram positionerna och stärker vår närvaro i en geografi med expansiva framtidsplaner. Tack vare delägarskapet kan vi tillsammans med Swedbank växa med såväl bef"
198d04177191c91b,2025-08-22,Besqab AB(publ),unknown,gmail,,admission_delisting,Delisting / Trading halt,0.7415,0.0045,needs_review_margin,-0.0193,21,Detaljplan antagen för Besqabs projekt med 50 nya bostäder i Nacka,"Detaljplan antagen för Besqabs projekt med 50 nya bostäder i Nacka Publicerad: 2025-08-22 07:30:00 CEST Besqab AB(publ) - Nyheter för investerare Detaljplan antagen för Besqabs projekt med 50 nya bostäder i Nacka Detaljplanen för Besqab ABs (publ) (“Besqab”) projekt Saltängen i Nacka har fått laga kraft. Produktionsstart för de cirka 50 nya bostäderna beräknas till 2026. Magnus Andersson, VD Besqab säger: “Vi ser fram emot att fortsätta utvecklingen av ännu ett hållbart bostadsprojekt i attraktivt läge i Nacka kommun. För den här typen av projekt, där vi bygger i ett befintligt bostadsområde, "
198eb30042f163cc,2025-08-27,Willys,unknown,gmail,,admission_delisting,Delisting / Trading halt,0.7415,0.0052,needs_review_margin,-0.0059,21,Willys öppnar ny butik i Mölndal,"[*] Willys öppnar ny butik i Mölndal Willys fortsätter att växa och öppnar en ny butik, den här gången i det nya området Forsåker i Mölndal. Planerad öppning är 2027. Den nya Willysbutiken, som öppnar tidig sommar 2027, kommer att ligga i stadsdelen Forsåker i den östra delen av Mölndal. Butiken i Forsåker blir strategiskt belägen i ett av de nya kvarteren vid Kvarnbygatan, som är den sammankopplande länken mellan östra och västra delen av Mölndal. Strax intill ligger knutpunkten Mölndalsbro, med endast åtta minuters pendel till Göteborg. Tillsammans med det kommunala bolaget MölnDala Fastighe"
198ad631ed4ee4b5,2025-08-15,Havsfrun Investment AB,unknown,gmail,,capital_raise_rights_issue,Capital raise / Rights issue,0.7423,0.0019,needs_review_margin,0.1547,31,"Havsfruns substansvärde per aktie ökade med 0,8 % under juli","Havsfruns substansvärde per aktie ökade med 0,8 % under juli Publicerad: 2025-08-15 13:00:00 CEST Havsfrun Investment AB - NAV kurs Havsfruns substansvärde per aktie ökade med 0,8 % under juli Beräknat substansvärde per 31 juli 2025 uppgick till 105,3 mkr (104,5), motsvarande 8,70 kr per aktie (8,63). Vid utgången av juli månad uppgick investeringsportföljen till ca 61 mkr, motsvarande en investeringsgrad om ca 58 %. B-aktiens stängningskurs den 31 juli 2025 var 16,15 kr. För ytterligare information, var vänlig kontakta: Jonas Israelsson, VD, 08-506 777 00, Informationen lämnades för offentlig"
198a9867e80790a4,2025-08-14,Viking Line,unknown,gmail,,dividend,Dividend,0.7433,0.0139,needs_review_margin,0.0823,0,Viking Line: Vuoden 2024 osingonjaon toisesta erästä,"Viking Line: Vuoden 2024 osingonjaon toisesta erästä Julkaistu: 2025-08-14 19:00:00 CEST Viking Line - Muut pörssin sääntöjen nojalla julkistettavat tiedot Viking Line: Vuoden 2024 osingonjaon toisesta erästä Viking Line Abp MUU TIETO, JOKA ON JULKAISTAVA PÖRSSIN SÄÄNTÖJEN MUKAAN 14.08.2025 klo 20.00 Vuoden 2024 osingonjaon toisesta maksuerästä Hallitus on 14. elokuuta 2025 pidetyssä varsinaisessa kokouksessaan, varsinaisen yhtiökokouksen 24. huhtikuuta 2025 antaman valtuutuksen mukaisesti, päättänyt jakaa toisen osinkoerän, joka on 0,50 euroa osakkeelta, yhteensä 8,64 miljoonaa euroa. Osingon"
198cc1dd590c67d1,2025-08-21,NTR Holding A/S,unknown,gmail,,admission_delisting,Delisting / Trading halt,0.7451,0.0041,needs_review_margin,0.0366,34,Halvårsrapport 2025,"Halvårsrapport 2025 Offentliggjort: 2025-08-21 12:12:41 CEST NTR Holding A/S - Halvårsrapport Halvårsrapport 2025 Selskabsmeddelelse nr. 18 – 2025 København, den 21. august 2025 Halvårsrapport 2025 for perioden 1. januar 2025 – 30. juni 2025 Koncernens underskud af primær drift udgør DKK 0,9 mio. (DKK -0,7 mio. i 1. halvår 2024), hvilket er i overensstemmelse med forventningerne. Egenkapitalen udgør DKK 8,7 mio., svarende til en indre værdi pr. aktie på DKK 3,5. NTR Holding-koncernen forventer i 2025 uændret en omsætning i niveauet DKK 4 mio. og et resultat før kurs- og værdireguleringer i niv"
198e4f64e02fe319,2025-08-26,Heba Fastighets AB,unknown,gmail,,capital_raise_rights_issue,Capital raise / Rights issue,0.7452,0.0004,needs_review_margin,-0.0017,21,Heba tillsätter IT- och digitaliseringschef,"Heba tillsätter IT- och digitaliseringschef Publicerad: 2025-08-26 08:00:00 CEST Heba Fastighets AB - Nyheter för investerare Heba tillsätter IT- och digitaliseringschef Heba tillsätter en IT- och digitaliseringschef som en naturlig del i bolagets satsning på smart förvaltning, där digitalisering är avgörande för en fortsatt effektiv och hållbar verksamhet. Heba bygger ett helt nytt arbetssätt med stöd av IT. Vi har prövat olika system och metoder under en tid och nu är vi redo att ta nästa steg i vår digitala resa. Genom att utse en IT- och digitaliseringschef stärker vi vår förmåga att driva"
